word,value
workers,0.017202063
pen,0.015296718
visit,0.01452928
macron,0.013053067
closure,0.010939782
marine,0.010096071
surprise,0.009922349
health,0.00931471
jobs,0.009018391
whirlpool,0.008997085
facing,0.008805804
campaign,0.008245847
french,0.007915503
senate,0.007425937
hours,0.0072638984
presidential,0.0067110388
bosses,0.006631477
plant,0.006297947
care,0.006227912
lose,0.0059792674
candidate,0.005902576
pass,0.005885836
cartel,0.005850994
leader,0.00566138
factory,0.005418707
august,0.0051958095
trade,0.0050554653
used,0.0049898596
breitbart,0.0048801736
recess,0.004776065
top,0.0047246846
mexican,0.004670843
expected,0.0044529987
republicans,0.0040913825
talk,0.0038408418
reports,0.0038315225
jeered,0.0038100318
sifflent,0.0037390955
bill,0.0037094154
front,0.0036862204
president,0.0036449586
disaster,0.0036333597
started,0.0036208918
scandent,0.003606928
union,0.00356489
whistled,0.0035601577
shouts,0.0035505656
relocated,0.0035505344
greeted,0.0035483134
reaction,0.003542153
national,0.003508122
marion,0.0035043766
les,0.003464065
face,0.0034616846
cheered,0.0034380676
emmanuel,0.0034227602
stressed,0.0034209138
concerns,0.003414674
april,0.003403238
twitter,0.003394032
scheduled,0.0033577033
faced,0.0033317825
broadcaster,0.0033280132
bfmtv,0.0033218134
large,0.00329587
migration,0.0032736943
protect,0.003267724
rival,0.0032218948
amiens,0.0032195891
shouted,0.003185393
american,0.0031844734
planned,0.0031288115
mcconnell,0.003116375
june,0.003086314
earlier,0.0030768963
increasing,0.0029852511
ended,0.002957143
leadership,0.0029345613
animosity,0.0029329346
opportunity,0.0029269098
pic,0.0029168357
hopeful,0.0028668533
poland,0.0028353257
ouvriers,0.0027981966
texas,0.002739245
intrigue,0.0027132405
memo,0.0026721836
orders,0.002651911
nafta,0.002523532
various,0.0024776964
shoved,0.0024619757
reform,0.002415805
pressure,0.0023949058
foreign,0.0023520733
trump,0.002348677
cartels,0.0022701474
price,0.0021671075
congress,0.0021589948
house,0.0020748496
capture,0.0019452674
