word,value
told,0.027840909
documents,0.022814553
state,0.020620925
official,0.018559337
classified,0.017217945
trained,0.016127259
fbi,0.015116456
department,0.01422749
clinton,0.013297778
guidance,0.0114026535
process,0.009320979
protecting,0.009190114
handling,0.008390057
breitbart,0.006294141
emails,0.006177444
training,0.0061364714
highlighted,0.006103676
signature,0.00603823
receive,0.0060244733
dept,0.0059736804
job,0.0059395717
access,0.005886102
remember,0.005856972
claim,0.005783251
classifying,0.005764416
numerous,0.0057459124
email,0.005737825
document,0.0056868764
computer,0.005612826
various,0.005594009
questioners,0.0055810516
keeping,0.005549967
sessions,0.005459104
testifying,0.0054583554
preserving,0.0054567214
standard,0.0054536453
hillary,0.005441884
ensure,0.005432363
preserve,0.005368055
contradiction,0.0053673373
using,0.005228235
employees,0.0051355255
protect,0.005099194
officials,0.0050166044
statement,0.0048940727
trade,0.0048228805
weekly,0.0048148534
times,0.004760299
puzzle,0.004555683
attached,0.00445871
train,0.0040622936
orders,0.0028569102
intrigue,0.0020190296
free,0.0019328068
memo,0.0018370099
foreign,0.0018015618
stance,0.0017754604
aimed,0.0017648197
trump,0.0017207975
nafta,0.0016207631
executive,0.0013885645
north,0.0013811414
changes,0.001366421
massive,0.0013526094
companies,0.0013420702
proposed,0.0013008609
draft,0.0013002803
partners,0.0012896868
advantage,0.0012884419
imply,0.0012624961
efforts,0.0012565473
prices,0.001253311
prevent,0.0012451163
abuses,0.0012424007
latest,0.001227813
mark,0.0012147167
agreement,0.0012103854
bolster,0.0011984844
manufacturers,0.0011946029
amid,0.0011926377
sign,0.0011913652
study,0.0011910704
journal,0.0011901491
sweeping,0.001190133
street,0.0011850605
statements,0.0011737983
hours,0.0011623141
reported,0.0011616191
combatting,0.001161503
government,0.0011603842
bloomberg,0.0011528913
surrounding,0.0011393855
step,0.0011345884
taking,0.0011313623
signing,0.0011190431
friday,0.0011171324
policies,0.0010970035
office,0.0010925698
day,0.0010912664
trail,0.0010912551
